,file name,label,vanti
1,Y50XU_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-06-12_03-36-12.BMP,1,0
2,4P0Q0_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-10-11_04-10-48.BMP,1,1
3,Y50R8_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-06-10_00-42-42.BMP,1,1
4,Y50RY_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-08-16_12-21-50.BMP,1,0
5,Y50ZS_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-08-06_10-02-10.BMP,1,0
6,4P0QQ_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-10-22_15-38-00.BMP,1,1
7,Y510S_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-07-13_15-47-08.BMP,1,1
8,4P0P6_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-09-19_19-34-01.BMP,1,1
9,4P0RO_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-12-06_14-14-20.BMP,1,1
10,Y50QY_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-06-10_17-49-30.BMP,1,0
11,Y50YS_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-06-24_20-05-11.BMP,1,0
12,7QI8G_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-08-28_19-57-03.BMP,1,0
13,4P0RU_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-11-06_09-57-12.BMP,1,0
14,T10H4_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-05-01_07-38-11.BMP,1,0
15,7QI8Q_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-11-05_00-45-05.BMP,1,0
16,9UHIS_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-10-18_00-33-27.BMP,1,0
17,7N0N6_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-06-04_23-54-34.BMP,1,0
18,9A0SE_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-04-22_15-45-32.BMP,1,0
19,4P0Q0_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-10-11_03-16-14.BMP,1,0
20,4P0PK_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-10-11_03-47-54.BMP,1,0
21,6U0OO_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-11-19_20-38-45.BMP,1,0
22,9UHIY_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-11-04_20-18-30.BMP,1,0
23,T10GG_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-07-29_00-03-03.BMP,1,1
24,T10HQ_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-05-28_20-11-59.BMP,1,1
