,file name,label,vanti,train \ test
1,1AHSC_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-23_19-57-27.BMP,0,0,0
2,1P2VC_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-11-18_06-11-48.BMP,0,0,1
3,1P2ZA_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY14_2020-12-26_19-23-41.BMP,0,0,0
4,1P2ZA_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-12-26_19-23-41.BMP,0,0,1
5,1P3A4_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-11-28_03-05-27.BMP,0,0,0
6,1P3A4_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-28_03-05-27.BMP,0,0,0
7,1P3AM_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-24_06-18-41.BMP,0,0,0
8,1P3BQ_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-12_15-01-31.BMP,0,0,0
9,1P38M_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-12-29_08-25-23.BMP,0,0,1
10,1P39A_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-11-18_05-24-28.BMP,0,0,1
11,1P39I_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-22_19-37-01.BMP,0,0,0
12,J7VIG_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-11-30_17-05-41.BMP,0,0,0
13,J7VQS_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-12-19_07-19-11.BMP,0,0,1
14,V9HME_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-12-09_15-48-52.BMP,0,0,0
15,V92D0_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-07_10-17-56.BMP,0,0,0
16,V9266_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-12-02_09-49-53.BMP,0,0,0
17,1A1AE_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-12-13_08-14-30.BMP,0,0,1
