,file name,label,vanti,train \ test,score,vanti label,vanti with pr
19,2RLH4_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX4DY11SDX2SDY8_2020-11-02_17-18-11.BMP,0,1,0,0.58,0,1
20,2RLHG_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX9DY12SDX2SDY10_2020-12-22_12-08-10.BMP,0,1,0,0.39,0,1
21,2RLHK_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX9DY12SDX2SDY10_2020-11-11_10-36-28.BMP,0,1,0,0.29,0,1
22,2RLLG_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX9DY12SDX2SDY9_2020-11-08_20-22-02.BMP,0,1,1,0.54,0,1
23,2RLTY_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX9DY12SDX2SDY10_2020-12-22_11-07-01.BMP,0,1,1,0.59,0,1
43,6S3TC_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-12-04_02-40-56.BMP,0,0,1,0.45,0,1
244,1A1RO_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-12-27_16-47-05.BMP,0,0,1,0.81,0,1
418,2RKFU_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX9DY12SDX2SDY9_2020-11-01_00-24-10.BMP,0,1,1,0.34,0,1
419,2RKHW_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX14DY13SDX2SDY10_2020-11-01_05-00-09.BMP,0,1,0,0.23,0,1
420,2RKMQ_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX4DY11SDX2SDY10_2020-11-11_00-56-07.BMP,0,1,0,0.26,0,1
421,2RLBA_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX14DY13SDX2SDY10_2020-12-09_21-25-23.BMP,0,1,0,0.52,0,1
422,2RLBA_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX9DY12SDX2SDY10_2020-12-09_21-25-23.BMP,0,1,1,0.2,0,1
423,2RLLY_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX9DY12SDX2SDY10_2020-12-09_07-41-45.BMP,0,1,0,0.4,0,1
424,2RLO4_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX9DY12SDX2SDY9_2020-11-27_17-55-23.BMP,0,1,0,0.18,0,1
425,2RLR8_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX9DY12SDX2SDY10_2020-12-14_00-20-42.BMP,0,1,0,0.49,0,1
426,2RLV8_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX14DY13SDX2SDY10_2020-12-03_08-40-09.BMP,0,1,0,0.2,0,1
427,2RLVG_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX4DY11SDX2SDY10_2020-12-14_22-15-20.BMP,0,1,1,0.16,0,1
