,file name,label,vanti,train \ test,score,vanti label,vanti with pr
13771,1A19W_FSGB_VE_MEAS_FIB_{MEASURE}_P013_DX10DY3SDX7SDY17_2020-11-18_13-23-35.BMP,1,1,1,0.93,0,1
13772,I6UYQ_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY4SDX2SDY10_2020-12-09_20-50-59.BMP,1,1,1,0.83,0,1
13773,6GJ16_FSGB_VE_MEAS_FIB_{MEASURELB}_P004_DX14DY11SDX7SDY18_2020-11-17_04-48-32.BMP,1,1,1,0.83,0,1
13774,S51HE_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-12-28_15-47-39.BMP,1,1,1,0.57,0,1
13775,6S3TA_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY14_2020-12-03_02-11-19.BMP,1,1,0,0.87,0,1
13776,3JOMA_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX3DY9SDX6SDY25_2020-12-08_20-57-17.BMP,1,1,0,0.47,0,1
13777,L5LS4_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-12-16_21-37-13.BMP,1,1,0,0.9,0,1
13778,3AJ5W_FSGB_VE_MEAS_FIB_{MEASURELB}_P009_DX10DY3SDX7SDY18_2020-12-27_16-39-57.BMP,1,1,1,0.6,0,1
13779,S51HU_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-13_09-23-55.BMP,1,1,1,0.71,0,1
13780,2RLN2_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX14DY13SDX2SDY10_2020-11-19_03-21-38.BMP,1,1,0,0.78,0,1
13781,S50ZU_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-11-22_13-08-32.BMP,1,1,0,0.58,0,1
13782,I6V40_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX9DY12SDX2SDY10_2020-12-21_20-41-57.BMP,1,1,1,0.5,0,1
13783,6GIP4_FSGB_VE_MEAS_FIB_{MEASURELB}_P009_DX10DY3SDX7SDY18_2020-11-07_03-30-04.BMP,1,1,0,0.83,0,1
13784,S511Y_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-17_13-33-57.BMP,1,1,0,0.74,0,1
13785,2RLPC_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX11DY6SDX2SDY10_2020-11-23_20-45-20.BMP,1,1,0,0.59,0,1
13786,I6UZC_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX9DY12SDX2SDY10_2020-12-19_10-10-46.BMP,1,1,0,0.72,0,1
13787,2RLN2_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY4SDX2SDY10_2020-11-19_03-21-38.BMP,1,1,0,0.77,0,1
13788,I6V1S_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX4DY11SDX2SDY10_2020-12-04_03-04-58.BMP,1,1,0,0.87,0,1
13789,M3RHK_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX5DY11SDX5SDY31_2020-12-13_17-19-47.BMP,1,1,0,0.52,0,1
13790,2RLXI_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX11DY6SDX2SDY10_2020-12-07_21-06-41.BMP,1,1,1,0.46,0,1
13791,S5HPM_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-12-01_15-13-51.BMP,1,1,0,0.51,0,1
13792,1P3A4_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-28_00-30-16.BMP,1,1,0,0.71,0,1
13793,8XJFU_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX11DY5SDX5SDY31_2020-11-26_21-37-43.BMP,1,1,1,0.83,0,1
13794,3AIZG_FSGB_VE_MEAS_FIB_{MEASURELB}_P001_DX10DY9SDX7SDY18_2020-11-17_14-58-23.BMP,1,1,0,0.44,0,1
13795,2RL0I_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY4SDX2SDY10_2020-11-13_04-08-03.BMP,1,1,1,0.58,0,1
13796,S519I_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX6DY6SDX5SDY18_2020-12-01_19-36-45.BMP,1,1,0,0.54,0,1
13797,1A1CG_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-12-13_09-53-50.BMP,1,1,0,0.41,0,1
13798,1P32K_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-11-18_07-46-16.BMP,1,1,0,0.79,0,1
13799,2RLLA_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX16DY6SDX2SDY10_2020-11-13_22-35-32.BMP,1,1,0,0.73,0,1
13800,5X6WI_FSGB_VE_MEAS_FIB_{MEASURE}_P010_DX13DY3SDX5SDY31_2020-11-02_22-51-14.BMP,1,1,1,0.65,0,1
13801,U8LKO_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-11-09_07-06-24.BMP,1,1,0,0.49,0,1
13802,2RLJO_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX11DY6SDX2SDY10_2020-11-10_18-07-14.BMP,1,1,1,0.56,0,1
13803,3JOTU_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX6SDY25_2020-12-06_08-45-35.BMP,1,1,0,0.9,0,1
13804,1A1Q2_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-08_01-06-35.BMP,1,1,0,0.64,0,1
13805,1A1RM_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-12-21_23-34-13.BMP,1,1,0,0.69,0,1
13806,1A196_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-26_22-52-17.BMP,1,1,1,0.48,0,1
13807,2RLX8_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY4SDX2SDY10_2020-12-24_12-16-55.BMP,1,1,1,0.5,0,1
13808,2RLSC_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX11DY6SDX2SDY10_2020-12-18_16-56-34.BMP,1,1,0,0.53,0,1
13809,M3RF0_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX17DY5SDX5SDY31_2020-12-01_19-00-28.BMP,1,1,0,0.67,0,1
13810,S51HM_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-12-22_19-49-48.BMP,1,1,0,0.56,0,1
13811,5X6UQ_FSGB_VE_MEAS_FIB_{MEASURE}_P021_DX11DY2SDX5SDY28_2020-11-06_07-36-09.BMP,1,1,0,0.76,0,1
13812,V922I_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-02_16-43-01.BMP,1,1,0,0.8,0,1
13813,M3RHK_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX8DY8SDX5SDY31_2020-12-13_17-19-47.BMP,1,1,0,0.94,0,1
13814,1A196_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-11-26_22-52-17.BMP,1,1,0,0.85,0,1
13815,I6V5S_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX9DY12SDX2SDY10_2020-12-28_05-05-58.BMP,1,1,0,0.56,0,1
13816,3AIWY_FSGB_VE_MEAS_FIB_{MEASURELB}_P005_DX3DY9SDX7SDY18_2020-11-09_05-14-21.BMP,1,1,1,0.69,0,1
13817,3JOTK_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX9DY3SDX6SDY24_2020-11-24_15-24-58.BMP,1,1,0,0.42,0,1
13818,1A196_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-11-26_20-06-22.BMP,1,1,0,0.55,0,1
13819,2RLLG_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY4SDX2SDY10_2020-11-08_15-39-56.BMP,1,1,0,0.83,0,1
13820,2RLSO_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY4SDX2SDY10_2020-11-23_18-23-18.BMP,1,1,0,0.48,0,1
13821,2RLBA_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX11DY6SDX2SDY10_2020-12-09_21-25-23.BMP,1,1,0,0.84,0,1
13822,I6U96_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY4SDX2SDY10_2020-12-10_08-38-49.BMP,1,1,0,0.53,0,1
13823,1A1PY_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-21_17-20-40.BMP,1,1,0,0.79,0,1
13824,U8MES_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-12-14_16-49-41.BMP,1,1,1,0.93,0,1
13825,1A196_FSGB_VE_MEAS_FIB_{MEASURE}_P010_DX14DY6SDX7SDY14_2020-11-28_20-01-36.BMP,1,1,0,0.77,0,1
13826,S50ZU_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-11-22_07-39-13.BMP,1,1,0,0.57,0,1
13827,2RLLY_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY4SDX2SDY10_2020-12-09_07-41-45.BMP,1,1,0,0.85,0,1
13828,V91KK_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-11-01_16-59-41.BMP,1,1,1,0.61,0,1
13829,S50ZQ_FSGB_VE_MEAS_FIB_{MEASURE}_P018_DX10DY3SDX7SDY16_2020-12-11_14-12-03.BMP,1,1,0,0.4,0,1
13830,M3RGY_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX11DY5SDX5SDY31_2020-11-24_05-04-28.BMP,1,1,0,0.65,0,1
13831,2RL9O_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX11DY6SDX2SDY10_2020-11-19_11-39-49.BMP,1,1,1,0.92,0,1
13832,8XJLU_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX17DY5SDX5SDY31_2020-11-27_11-49-31.BMP,1,1,0,0.7,0,1
13833,5X6UQ_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX11DY2SDX5SDY31_2020-11-06_23-06-48.BMP,1,1,0,0.88,0,1
13834,8XJ7K_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX5DY11SDX5SDY31_2020-11-15_11-53-12.BMP,1,1,0,0.66,0,1
13835,5X6UQ_FSGB_VE_MEAS_FIB_{MEASURE}_P010_DX13DY3SDX5SDY29_2020-11-05_05-21-05.BMP,1,1,0,0.61,0,1
13836,2RL5O_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY4SDX2SDY9_2020-12-10_11-29-27.BMP,1,1,1,0.87,0,1
13837,I6V4I_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX11DY6SDX2SDY10_2020-11-30_19-32-02.BMP,1,1,0,0.73,0,1
13838,6GIP0_FSGB_VE_MEAS_FIB_{MEASURELB}_P005_DX3DY9SDX7SDY18_2020-11-21_16-12-57.BMP,1,1,0,0.42,0,1
13839,S512A_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-12-07_11-50-17.BMP,1,1,0,0.78,0,1
13840,1A19W_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-11-19_10-03-10.BMP,1,1,1,0.57,0,1
13841,2RLLM_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY4SDX2SDY10_2020-11-13_23-43-03.BMP,1,1,1,0.63,0,1
13842,2RLAK_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY4SDX2SDY9_2020-11-14_18-00-24.BMP,1,1,0,0.43,0,1
13843,S5118_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-03_00-41-02.BMP,1,1,0,0.75,0,1
13844,1A196_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-11-28_06-42-14.BMP,1,1,0,0.89,0,1
13845,2RLBI_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX4DY11SDX2SDY10_2020-11-07_21-56-52.BMP,1,1,0,0.87,0,1
13846,S51HU_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-12-13_14-27-03.BMP,1,1,0,0.93,0,1
13847,2RLLE_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX9DY12SDX2SDY10_2020-11-06_20-47-04.BMP,1,1,0,0.9,0,1
13848,S511Q_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-12-22_04-30-40.BMP,1,1,0,0.75,0,1
13849,1A1R6_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-12-18_16-50-09.BMP,1,1,1,0.43,0,1
13850,2RLVC_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX9DY12SDX2SDY9_2020-12-04_08-42-57.BMP,1,1,1,0.74,0,1
13851,I6V6M_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY4SDX2SDY10_2020-12-18_03-24-29.BMP,1,1,1,0.48,0,1
13852,3JOMA_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX9DY3SDX6SDY25_2020-12-08_20-57-17.BMP,1,1,1,0.44,0,1
13853,U8LYY_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-12-03_01-24-30.BMP,1,1,0,0.89,0,1
