,file name,label,vanti,train \ test,score,vanti with context data
1502,S7004_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-08-07_02-41-43.BMP,1,0,0,0.15,0
1503,G106U_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-05-25_07-10-30.BMP,1,0,0,0.51,0
1504,8Y0K8_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX12DY6SDX3SDY14_2020-10-23_13-24-28.BMP,1,0,0,0.13,0
1506,7N0H0_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2019-12-30_17-47-42.BMP,1,0,0,0.18,0
1512,8Y0KU_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-04-15_14-27-21.BMP,1,0,0,0.19,0
1520,8Y0KW_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-03-24_14-20-53.BMP,1,0,1,0.19,0
1524,9A0SK_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-02-21_05-11-58.BMP,1,0,0,0.49,0
1530,Y511S_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-05-09_23-38-57.BMP,1,0,0,0.27,0
1532,8Y0KS_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-02-18_19-08-31.BMP,1,0,0,0.5,0
1534,Y50X4_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX5SDY16_2020-10-22_02-32-02.BMP,1,0,0,0.38,0
1539,2CICK_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-07-01_22-55-04.BMP,1,0,1,0.29,0
1542,9A0SG_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-04-15_01-42-25.BMP,1,0,0,0.47,0
1544,Y5124_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-12-03_16-27-18.BMP,1,0,0,0.6,0
1548,7N0M8_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-03-01_08-36-38.BMP,1,0,1,0.33,0
1553,4P0RY_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-11-01_05-35-14.BMP,1,0,0,0.52,0
1554,F70KQ_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY15_2020-12-19_13-12-56.BMP,1,0,0,0.53,0
1560,N9HK4_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-03-31_22-27-28.BMP,1,0,0,0.56,0
1562,4P0R2_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-10-21_18-49-05.BMP,1,0,0,0.47,0
1565,N606G_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-10-15_12-33-35.BMP,1,0,1,0.26,0
1568,G1070_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-01-28_07-42-25.BMP,1,0,1,0.42,0
1570,8Y0KQ_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY16_2020-02-04_19-41-16.BMP,1,0,1,0.47,0
