,file name,label,vanti,train \ test,score,vanti with context data
0,Y50XU_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-06-12_03-36-12.BMP,0,1,0,0.54,1
3,Y50RY_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-08-16_12-21-50.BMP,0,1,1,0.28,1
4,Y50ZS_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-08-06_10-02-10.BMP,0,1,1,0.22,1
6,Y510S_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-07-13_15-47-08.BMP,0,0,1,0.81,1
9,Y50QY_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-06-10_17-49-30.BMP,0,1,0,0.27,1
10,Y50YS_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-06-24_20-05-11.BMP,0,1,0,0.19,1
11,7QI8G_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-08-28_19-57-03.BMP,0,1,1,0.15,1
12,4P0RU_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-11-06_09-57-12.BMP,0,1,1,0.37,1
13,T10H4_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-05-01_07-38-11.BMP,0,1,0,0.59,1
14,7QI8Q_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-11-05_00-45-05.BMP,0,1,0,0.18,1
15,9UHIS_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-10-18_00-33-27.BMP,0,1,0,0.4,1
16,7N0N6_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-06-04_23-54-34.BMP,0,1,0,0.57,1
17,9A0SE_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-04-22_15-45-32.BMP,0,1,1,0.46,1
18,4P0Q0_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-10-11_03-16-14.BMP,0,1,1,0.5,1
19,4P0PK_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-10-11_03-47-54.BMP,0,1,0,0.42,1
20,6U0OO_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-11-19_20-38-45.BMP,0,1,0,0.39,1
21,9UHIY_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-11-04_20-18-30.BMP,0,1,1,0.32,1
34,7N0M8_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-03-01_08-36-38.BMP,0,1,0,0.3,1
35,Y50Y8_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-07-05_06-52-34.BMP,0,1,0,0.35,1
36,Y50YS_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY16_2020-06-24_20-48-33.BMP,0,1,0,0.48,1
37,Y50ZQ_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-07-29_00-04-09.BMP,0,1,0,0.26,1
38,Y50Z4_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-06-10_08-10-42.BMP,0,1,1,0.49,1
39,Y50YC_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-08-22_22-38-21.BMP,0,1,0,0.13,1
40,9A0VU_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-09-25_14-19-57.BMP,0,1,0,0.45,1
41,9UHIY_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-11-04_20-18-30.BMP,0,1,1,0.17,1
42,7N0KS_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-02-04_19-25-06.BMP,0,1,1,0.31,1
43,9A0TE_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-03-13_11-21-53.BMP,0,1,0,0.35,1
44,N6064_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-10-08_08-38-32.BMP,0,1,0,0.33,1
45,Y50T6_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-07-07_01-01-45.BMP,0,1,1,0.2,1
46,Y50WY_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-06-04_08-37-48.BMP,0,1,1,0.49,1
47,4P0RU_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-11-06_13-11-27.BMP,0,1,0,0.27,1
48,Y50Q2_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-07-02_09-29-40.BMP,0,1,1,0.58,1
49,4P0P2_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-09-22_05-24-10.BMP,0,1,1,0.14,1
50,Y50YU_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-06-24_20-08-13.BMP,0,1,0,0.58,1
51,Y50YI_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX7SDY17_2020-07-13_20-40-35.BMP,0,1,1,0.24,1
52,S700O_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-05-30_03-27-42.BMP,0,1,0,0.17,1
53,7N0N8_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-05-28_22-25-29.BMP,0,1,1,0.17,1
54,N606A_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY16_2020-12-01_09-05-20.BMP,0,1,1,0.19,1
55,Y511Q_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-05-19_05-18-50.BMP,0,1,0,0.39,1
56,Y50YS_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-06-24_20-05-11.BMP,0,1,1,0.32,1
57,7EIGQ_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-11-10_13-52-40.BMP,0,1,0,0.21,1
58,Y50R8_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-06-10_00-42-42.BMP,0,1,0,0.51,1
59,4P0Q0_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-10-11_03-16-14.BMP,0,1,0,0.42,1
60,F70KQ_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-12-19_08-54-52.BMP,0,1,0,0.44,1
61,Y50Q4_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-06-01_21-06-26.BMP,0,1,0,0.43,1
62,T10HK_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-08-16_14-47-16.BMP,0,1,0,0.36,1
63,4P0R2_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-10-21_18-49-05.BMP,0,1,0,0.15,1
64,N606E_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-12-08_15-17-38.BMP,0,1,1,0.51,1
65,4P0RK_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-10-11_04-31-37.BMP,0,1,0,0.39,1
66,7EIGK_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-10-15_16-24-55.BMP,0,1,0,0.45,1
67,9A0TA_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-03-13_23-21-50.BMP,0,1,1,0.19,1
68,9UHIU_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-10-21_23-38-33.BMP,0,1,0,0.17,1
69,9UHJ0_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-11-02_16-26-26.BMP,0,1,0,0.24,1
70,Y5110_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-08-14_03-41-31.BMP,0,1,1,0.24,1
71,T10GU_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-07-12_09-00-28.BMP,0,1,1,0.53,1
72,S700U_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-09-26_20-36-11.BMP,0,1,0,0.22,1
73,4P0Q2_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-11-24_12-20-28.BMP,0,1,1,0.38,1
74,9A0UY_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-09-04_05-34-10.BMP,0,1,0,0.5,1
75,Y50RW_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-05-28_20-15-16.BMP,0,1,1,0.24,1
76,4P0PU_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY16_2020-10-09_04-12-29.BMP,0,1,0,0.41,1
77,Y50SE_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-06-23_03-27-39.BMP,0,1,0,0.36,1
78,Y511I_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY16_2020-09-03_08-01-40.BMP,0,1,0,0.55,1
79,9A0V2_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-07-20_20-56-02.BMP,0,1,0,0.25,1
80,7N0N0_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-05-07_21-54-15.BMP,0,1,0,0.14,1
81,Y50YK_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-05-24_05-55-09.BMP,0,1,1,0.12,1
82,1W19Y_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-02-28_09-05-59.BMP,0,1,0,0.6,1
83,4P0RE_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY16_2020-11-24_07-58-07.BMP,0,1,0,0.31,1
84,N9HKG_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-06-05_11-17-16.BMP,0,1,1,0.22,1
85,W30E2_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-07-03_17-43-28.BMP,0,1,0,0.47,1
86,Y50ZM_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-05-31_12-49-44.BMP,0,1,0,0.19,1
87,9A0VM_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-09-17_18-06-38.BMP,0,1,0,0.47,1
88,7N0LY_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-01-26_09-14-21.BMP,0,1,0,0.59,1
