,file name,label,vanti,train \ test,score,vanti with context data
1,4P0Q0_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-10-11_04-10-48.BMP,0,0,0,0.92,0
2,Y50R8_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-06-10_00-42-42.BMP,0,0,1,0.71,0
5,4P0QQ_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-10-22_15-38-00.BMP,0,0,0,0.84,0
7,4P0P6_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-09-19_19-34-01.BMP,0,0,1,0.42,0
8,4P0RO_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-12-06_14-14-20.BMP,0,0,0,0.5,0
22,T10GG_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-07-29_00-03-03.BMP,0,0,0,0.72,0
23,T10HQ_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-05-28_20-11-59.BMP,0,0,0,0.77,0
24,7EIGQ_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-11-10_13-52-40.BMP,0,0,1,0.61,0
25,4P0SM_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-09-12_07-45-56.BMP,0,0,0,0.5,0
26,Y5112_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY16_2020-10-10_00-12-13.BMP,0,0,0,0.62,0
27,S7016_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-09-26_17-16-30.BMP,0,0,1,0.79,0
28,Y50ZS_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-08-06_10-02-10.BMP,0,0,0,0.7,0
29,7N0LE_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY16_2020-02-06_05-18-06.BMP,0,0,0,0.63,0
30,Y50Q4_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-06-01_21-06-26.BMP,0,0,0,0.68,0
31,Y50XQ_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-06-01_19-30-14.BMP,0,0,1,0.5,0
32,Y50YK_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-05-24_05-55-09.BMP,0,0,1,0.92,0
33,7N0LE_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY16_2020-02-06_05-18-06.BMP,0,0,0,0.81,0
89,Y510K_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY16_2020-10-17_22-27-31.BMP,0,0,0,0.86,0
90,7EIGK_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-10-15_16-24-55.BMP,0,0,1,0.43,0
91,Y510S_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-07-13_15-47-08.BMP,0,0,0,0.58,0
92,2CICM_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-07-07_01-48-39.BMP,0,0,1,0.85,0
93,T10H0_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX9DY14SDX8SDY15_2020-06-18_17-28-42.BMP,0,0,1,0.71,0
94,7N0N0_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-05-07_21-54-15.BMP,0,0,0,0.81,0
95,Y50XM_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-06-04_22-42-27.BMP,0,0,0,0.79,0
96,7EIGO_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-10-03_08-22-34.BMP,0,0,1,0.5,0
97,N606A_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY16_2020-12-01_09-05-20.BMP,0,0,1,0.93,0
98,7N0JI_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-02-04_19-19-27.BMP,0,0,1,0.82,0
99,2CICS_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-08-23_17-17-42.BMP,0,0,0,0.82,0
100,Y5112_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-10-09_22-54-39.BMP,0,0,0,0.68,0
101,7QI8G_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-08-28_19-57-03.BMP,0,0,1,0.88,0
102,Y50XM_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-06-04_22-42-27.BMP,0,0,0,0.8,0
103,S7004_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-08-07_02-41-43.BMP,0,0,0,0.51,0
104,7N0H0_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2019-12-30_17-47-42.BMP,0,0,0,0.56,0
105,Y50T6_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX6SDY16_2020-07-07_04-00-06.BMP,0,0,0,0.78,0
106,Y50XM_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-06-04_21-18-05.BMP,0,0,0,0.47,0
107,4P0QU_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-10-29_01-12-37.BMP,0,0,0,0.55,0
108,4P0PK_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-10-11_03-47-54.BMP,0,0,0,0.88,0
