,file name,label,vanti,train \ test,score,vanti with context data
1007,8Y0KU_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-04-15_14-27-21.BMP,1,1,0,0.65,1
1008,8Y0KW_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-03-24_14-20-53.BMP,1,1,1,0.74,1
1009,Y511I_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY16_2020-09-03_08-01-40.BMP,1,1,1,0.63,1
1010,9A0T8_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-03-13_05-32-04.BMP,1,1,0,0.69,1
1011,8Y0K8_HC_PL_MEAS_FIB_{MEASURE}_P006_DX7DY7SDX2SDY24_2020-10-23_16-43-58.BMP,1,1,1,0.76,1
1012,T10GG_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-07-29_00-03-03.BMP,1,1,0,0.66,1
1013,1W1AS_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX2SDY24_2020-10-25_01-53-36.BMP,1,1,0,0.88,1
1014,7EIGK_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-10-15_16-24-55.BMP,1,1,1,0.92,1
1015,4P0RK_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-10-11_03-41-57.BMP,1,1,0,0.79,1
1016,8Y0K8_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX8DY11SDX2SDY13_2020-10-23_16-43-58.BMP,1,1,0,0.58,1
1017,1W1AS_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX2SDY13_2020-10-25_01-53-36.BMP,1,1,0,0.56,1
1018,9A0SM_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-02-06_22-35-29.BMP,1,1,1,0.83,1
1019,2CICQ_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-07-24_15-21-44.BMP,1,1,0,0.76,1
1020,G1070_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-01-28_07-42-25.BMP,1,1,0,0.57,1
1021,5D0IM_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-02-07_01-06-55.BMP,1,1,1,0.91,1
1022,Y511C_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-10-29_01-40-49.BMP,1,1,1,0.42,1
1023,7N0K6_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2019-12-31_21-27-43.BMP,1,1,0,0.61,1
1024,Y50Z0_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-06-10_00-19-15.BMP,1,1,1,0.48,1
1025,3XI7K_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY16_2020-04-19_10-52-02.BMP,1,1,0,0.79,1
1026,1W1AS_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX8DY11SDX2SDY11_2020-10-28_18-05-00.BMP,1,1,0,0.58,1
1027,4P0RM_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-10-31_17-25-59.BMP,1,1,1,0.89,1
1028,Y50X6_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-06-06_04-51-17.BMP,1,1,0,0.61,1
1029,Y50WY_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-06-04_08-37-48.BMP,1,1,0,0.91,1
1030,6U0NW_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-09-11_12-23-35.BMP,1,1,1,0.82,1
1031,N606E_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-12-08_15-17-38.BMP,1,1,1,0.67,1
1032,Y50Z8_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-12-15_08-18-10.BMP,1,1,0,0.62,1
1033,G106U_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY16_2020-05-25_11-23-10.BMP,1,1,1,0.93,1
1034,8Y0KU_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-04-15_14-27-21.BMP,1,1,0,0.47,1
1035,T10GE_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-04-29_11-45-49.BMP,1,1,1,0.69,1
1036,8FJ44_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-03-14_11-40-24.BMP,1,1,0,0.83,1
1037,9A0T6_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-03-13_11-24-20.BMP,1,1,1,0.41,1
1038,8Y0KG_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-02-19_04-57-29.BMP,1,1,1,0.71,1
1039,Y511Y_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-12-08_06-19-21.BMP,1,1,1,0.74,1
1040,Y50YI_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX7SDY17_2020-07-13_20-40-35.BMP,1,1,0,0.76,1
1041,S7012_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX6SDY17_2020-09-01_20-38-48.BMP,1,1,0,0.48,1
1042,N9HK4_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-03-31_22-27-28.BMP,1,1,1,0.76,1
1043,T10HK_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-08-16_14-47-16.BMP,1,1,0,0.57,1
1044,2CICQ_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-07-24_15-21-44.BMP,1,1,1,0.78,1
1045,9A0UY_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-09-04_05-34-10.BMP,1,1,0,0.44,1
1046,6U0NO_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-09-24_01-39-29.BMP,1,1,0,0.49,1
1047,7N0JE_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-01-27_23-15-20.BMP,1,1,0,0.74,1
1048,Y50X2_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-06-04_05-58-57.BMP,1,1,1,0.79,1
1049,8Y0KQ_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY16_2020-02-04_19-41-16.BMP,1,1,1,0.83,1
1050,4P0RU_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-11-06_09-57-12.BMP,1,1,0,0.58,1
1051,S7012_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY16_2020-09-01_07-56-15.BMP,1,1,0,0.89,1
1052,Y510I_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-03-06_12-14-00.BMP,1,1,0,0.41,1
1053,Y50YY_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-07-18_13-11-27.BMP,1,1,0,0.85,1
1054,N9HK6_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY16_2020-03-29_13-00-50.BMP,1,1,0,0.91,1
1055,T10H2_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-04-28_03-34-16.BMP,1,1,1,0.74,1
1056,8Y0KW_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-03-24_14-20-53.BMP,1,1,0,0.91,1
1057,7N0N6_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-06-04_23-54-34.BMP,1,1,1,0.74,1
1058,Y50X6_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-06-06_04-51-17.BMP,1,1,1,0.62,1
1059,7N0MI_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-02-06_01-50-52.BMP,1,1,1,0.44,1
1060,Y50QQ_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX7DY7SDX2SDY24_2020-11-25_11-17-09.BMP,1,1,1,0.82,1
1061,4P0SM_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-09-12_07-45-56.BMP,1,1,1,0.58,1
1062,F70KQ_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-12-19_08-54-52.BMP,1,1,1,0.78,1
1063,N606G_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-10-15_12-33-35.BMP,1,1,0,0.44,1
1064,Y511C_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-10-29_14-08-15.BMP,1,1,1,0.47,1
1065,6U0OG_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-09-04_20-14-41.BMP,1,1,1,0.86,1
1066,N606E_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-12-08_15-17-38.BMP,1,1,1,0.72,1
1067,F70KQ_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-12-19_08-54-52.BMP,1,1,1,0.72,1
1068,N9HK8_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-04-04_14-55-38.BMP,1,1,0,0.5,1
1069,1W1B8_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-10-13_02-25-35.BMP,1,1,1,0.92,1
1070,8Y0K8_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX10DY9SDX4SDY23_2020-10-29_10-14-27.BMP,1,1,0,0.8,1
1071,S702Q_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-09-13_13-14-21.BMP,1,1,1,0.9,1
1072,G106U_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-05-25_07-10-30.BMP,1,1,1,0.87,1
1073,Y50RK_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX8DY11SDX8SDY15_2020-11-24_08-22-44.BMP,1,1,1,0.83,1
1074,3XI7G_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-04-22_14-08-34.BMP,1,1,0,0.73,1
1075,T10GE_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-04-29_11-45-49.BMP,1,1,1,0.86,1
1076,T10HC_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-04-30_02-22-54.BMP,1,1,1,0.88,1
1077,7N0MI_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-02-06_01-50-52.BMP,1,1,0,0.66,1
1078,Y50RI_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX12DY6SDX8SDY15_2020-10-22_07-48-25.BMP,1,1,0,0.84,1
1079,4P0RK_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-10-11_03-41-57.BMP,1,1,0,0.53,1
1080,Y511G_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-09-26_21-24-48.BMP,1,1,1,0.59,1
1081,Y50X8_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-06-14_18-55-28.BMP,1,1,0,0.9,1
