,file name,label,vanti,train \ test,score,vanti with PR
20909,I6VHK_RWHM_VE_MEAS_CD_SEM_{S5_80_1_BIN_WIC_S5_LW2_M1}_DX8DY7SDX2SDY9_2020-11-29_03-29-28.JPG,1,0,0,0.52,0.0
20912,6GK2U_RWHM_VE_MEAS_CD_SEM_{O3_80_5_O3_NO_PAD_LW_M1}_DX4DY12SDX7SDY40_2020-11-15_11-12-02.JPG,1,0,0,0.53,0.0
20915,FO030_RWHM_VE_MEAS_CD_SEM_{O3_4MF_LW3_O3_NO_PAD_LW3_M1}_DX10DY4SDX3SDY11_2020-12-06_15-25-41.JPG,1,0,0,0.32,0.0
20918,W40M0_RWHM_VE_MEAS_CD_SEM_{O3_80_4_O3_NO_PAD_LW_M1}_DX8DY13SDX14SDY27_2020-11-25_03-42-10.JPG,1,0,0,0.52,0.0
20924,S51CY_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX12SDY42_2020-12-09_14-12-08.JPG,1,0,1,0.44,0.0
20938,H6HHS_RWHM_VE_MEAS_CD_SEM_{O3_4MF_LW4_O3_NO_PAD_LW4_M1}_DX9DY7SDX14SDY42_2020-11-12_12-05-48.JPG,1,0,1,0.27,0.0
20940,D0HIG_RWHM_VE_MEAS_CD_SEM_{O3_4MF_LW_O3_NO_PAD_LW_M1}_DX11DY8SDX3SDY11_2020-10-22_11-25-02.JPG,1,0,0,0.14,0.0
20941,PW25W_RWHM_VE_MEAS_CD_SEM_{O3_NO_PAD_FE_O3_NO_PAD_LW_M1}_DX9DY5SDX7SDY21_2020-12-16_07-51-06.JPG,1,0,0,0.2,0.0
20945,D0HIG_RWHM_VE_MEAS_CD_SEM_{O3_4MF_LW4_O3_NO_PAD_LW4_M1}_DX4DY7SDX6SDY30_2020-10-22_11-25-02.JPG,1,0,0,0.48,0.0
20952,PR0VI_RWHM_VE_MEAS_CD_SEM_{O3_4MF_LW_O3_NO_PAD_LW_M1}_DX17DY8SDX3SDY11_2020-12-13_06-41-30.JPG,1,0,0,0.44,0.0
20962,FO030_RWHM_VE_MEAS_CD_SEM_{O3_4MF_LW3_O3_NO_PAD_LW3_M1}_DX3DY10SDX10SDY22_2020-12-06_15-25-41.JPG,1,0,0,0.19,0.0
20963,PR0XC_RWHM_VE_MEAS_CD_SEM_{O3_4MF_LW3_O3_NO_PAD_LW3_M1}_DX10DY4SDX14SDY42_2020-12-04_09-53-05.JPG,1,0,0,0.25,0.0
20967,PW25W_RWHM_VE_MEAS_CD_SEM_{O3_NO_PAD_FE_O3_NO_PAD_LW_M1}_DX13DY5SDX7SDY21_2020-12-16_07-51-06.JPG,1,0,1,0.15,0.0
20969,PW23A_RWHM_VE_MEAS_CD_SEM_{O3_NO_PAD_FE_O3_NO_PAD_LW_M1}_DX6DY14SDX7SDY21_2020-11-15_03-37-37.JPG,1,0,1,0.16,0.0
20975,H6HHU_RWHM_VE_MEAS_CD_SEM_{O3_4MF_LW4_O3_NO_PAD_LW4_M1}_DX4DY7SDX3SDY11_2020-10-28_04-11-55.JPG,1,0,1,0.45,0.0
20976,A71B2_RWHM_VE_MEAS_CD_SEM_{O3_80_3_O3_NO_PAD_LW_M1}_DX9DY7SDX5SDY37_2020-12-07_09-06-43.JPG,1,0,0,0.3,0.0
20978,H6HIQ_RWHM_VE_MEAS_CD_SEM_{O3_4MF_LW4_O3_NO_PAD_LW4_M1}_DX8DY13SDX10SDY22_2020-11-25_14-56-52.JPG,1,0,0,0.43,0.0
20984,PW23U_RWHM_VE_MEAS_CD_SEM_{O3_NO_PAD_FE_O3_NO_PAD_LW_M1}_DX6DY14SDX7SDY21_2020-11-30_21-19-41.JPG,1,0,0,0.41,0.0
21003,8S0TE_RWHM_VE_MEAS_CD_SEM_{O3_4MF_LW4_O3_NO_PAD_LW4_M1}_DX15DY7SDX6SDY30_2020-12-12_23-16-01.JPG,1,0,1,0.21,0.0
21006,PW25W_RWHM_VE_MEAS_CD_SEM_{O3_NO_PAD_FE_O3_NO_PAD_LW_M1}_DX13DY11SDX7SDY21_2020-12-16_07-51-06.JPG,1,0,0,0.42,0.0
21010,PW260_RWHM_VE_MEAS_CD_SEM_{O3_NO_PAD_FE_O3_NO_PAD_LW_M1}_DX13DY13SDX7SDY21_2020-12-18_11-11-08.JPG,1,0,0,0.45,0.0
21012,PW22G_RWHM_VE_MEAS_CD_SEM_{O3_NO_PAD_FE_O3_NO_PAD_LW_M1}_DX4DY13SDX0SDY0_2020-11-15_16-27-12.JPG,1,0,0,0.26,0.0
21013,PW260_RWHM_VE_MEAS_CD_SEM_{O3_NO_PAD_FE_O3_NO_PAD_LW_M1}_DX6DY13SDX7SDY21_2020-12-18_11-11-08.JPG,1,0,0,0.24,0.0
21021,W40TA_RWHM_VE_MEAS_CD_SEM_{O3_80_2_O3_NO_PAD_LW_M1}_DX16DY5SDX6SDY24_2020-12-10_19-31-26.JPG,1,0,1,0.16,0.0
21023,H6HI6_RWHM_VE_MEAS_CD_SEM_{O3_4MF_LW4_O3_NO_PAD_LW4_M1}_DX9DY7SDX6SDY30_2020-11-25_09-45-07.JPG,1,0,1,0.21,0.0
21029,W40T2_RWHM_VE_MEAS_CD_SEM_{O3_80_4_O3_NO_PAD_LW_M1}_DX17DY8SDX11SDY29_2020-12-16_12-50-57.JPG,1,0,1,0.12,0.0
21032,H6HIG_RWHM_VE_MEAS_CD_SEM_{O3_4MF_LW_O3_NO_PAD_LW_M1}_DX7DY11SDX6SDY30_2020-11-25_14-56-52.JPG,1,0,0,0.14,0.0
21036,FO030_RWHM_VE_MEAS_CD_SEM_{O3_4MF_TK_O3_NO_PAD_TK_M1}_DX3DY8SDX14SDY1_2020-12-06_15-25-41.JPG,1,0,0,0.38,0.0
21038,PW23A_RWHM_VE_MEAS_CD_SEM_{O3_NO_PAD_FE_O3_NO_PAD_LW_M1}_DX13DY7SDX7SDY21_2020-11-15_03-37-37.JPG,1,0,0,0.36,0.0
21041,W40TA_RWHM_VE_MEAS_CD_SEM_{O3_80_1_O3_NO_PAD_LW_M1}_DX10DY9SDX4SDY30_2020-12-10_19-31-26.JPG,1,0,0,0.23,0.0
21042,W40QO_RWHM_VE_MEAS_CD_SEM_{O3_80_4_O3_NO_PAD_LW_M1}_DX13DY12SDX8SDY11_2020-12-06_14-49-40.JPG,1,0,1,0.28,0.0
21044,FO030_RWHM_VE_MEAS_CD_SEM_{O3_4MF_LW2_O3_NO_PAD_LW2_M1}_DX13DY3SDX6SDY30_2020-12-06_15-25-41.JPG,1,0,0,0.59,0.0
21047,S51CY_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX13SDY18_2020-12-09_14-12-08.JPG,1,0,0,0.33,0.0
21054,8S0O4_RWHM_VE_MEAS_CD_SEM_{O3_4MF_LW_O3_NO_PAD_LW_M1}_DX11DY14SDX6SDY30_2020-11-02_18-51-53.JPG,1,0,1,0.15,0.0
21058,U4HVO_RWHM_VE_MEAS_CD_SEM_{S5_80_VE_3_S5_LW_M1}_DX9DY7SDX1SDY45_2020-10-31_09-38-48.JPG,1,0,1,0.55,0.0
21064,S51CY_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX5SDY16_2020-12-09_14-12-08.JPG,1,0,0,0.21,0.0
21065,W40TA_RWHM_VE_MEAS_CD_SEM_{O3_80_2_O3_NO_PAD_LW_M1}_DX16DY5SDX12SDY6_2020-12-10_19-31-26.JPG,1,0,1,0.59,0.0
21072,H6HI0_RWHM_VE_MEAS_CD_SEM_{O3_4MF_LW_O3_NO_PAD_LW_M1}_DX11DY8SDX14SDY42_2020-11-12_12-05-48.JPG,1,0,0,0.38,0.0
21075,J60A2_RWHM_VE_MEAS_CD_SEM_{O3_4MF_LW4_O3_NO_PAD_LW4_M1}_DX8DY13SDX3SDY11_2020-10-30_01-48-30.JPG,1,0,1,0.13,0.0
