,file name,label,vanti,train \ test,score,vanti with PR
4,1A1GQ_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX14SDY27_2020-11-16_02-17-33.JPG,0,1,1,0.27,1.0
14,1A1HG_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX8SDY22_2020-10-31_01-27-57.JPG,0,1,0,0.5,1.0
18,1A1HG_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX9SDY34_2020-10-31_01-27-57.JPG,0,1,0,0.18,1.0
19,1A1HG_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX8SDY11_2020-10-31_01-27-57.JPG,0,1,1,0.6,1.0
26,1A1HI_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX4DY12SDX13SDY18_2020-10-19_03-48-47.JPG,0,1,0,0.5,1.0
28,1A1HK_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX12SDY42_2020-11-17_03-34-16.JPG,0,1,0,0.33,1.0
30,1A1HK_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX5SDY16_2020-11-17_03-34-16.JPG,0,1,0,0.43,1.0
31,1A1HK_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX15DY8SDX5SDY37_2020-11-17_03-34-16.JPG,0,1,0,0.51,1.0
33,1A1HK_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX13SDY18_2020-11-17_03-34-16.JPG,0,1,0,0.12,1.0
38,1A1HM_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX13SDY45_2020-11-28_10-46-21.JPG,0,1,0,0.37,1.0
43,1A1HO_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX1SDY11_2020-10-26_07-39-12.JPG,0,1,0,0.55,1.0
45,1A1HO_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX16DY5SDX2SDY40_2020-10-26_07-39-12.JPG,0,1,1,0.26,1.0
46,1A1HO_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX5SDY16_2020-10-26_07-39-12.JPG,0,1,0,0.35,1.0
48,1A1HO_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX14SDY27_2020-10-26_07-39-12.JPG,0,1,0,0.25,1.0
49,1A1HO_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX10DY4SDX7SDY40_2020-10-26_07-39-12.JPG,0,1,0,0.21,1.0
50,1A1HO_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX2SDY33_2020-10-26_07-39-12.JPG,0,1,0,0.26,1.0
