,file name,label,vanti,train \ test,score,vanti with PR
0,1A1GQ_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX12SDY6_2020-11-16_02-17-33.JPG,0,0,0,0.63,0.0
1,1A1GQ_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX16DY5SDX12SDY6_2020-11-16_02-17-33.JPG,0,0,1,0.8,0.0
2,1A1GQ_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX10SDY15_2020-11-16_02-17-33.JPG,0,0,1,0.53,0.0
3,1A1GQ_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX14SDY27_2020-11-16_02-17-33.JPG,0,0,1,0.76,0.0
5,1A1HE_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX1SDY11_2020-12-04_14-23-04.JPG,0,0,0,0.63,0.0
6,1A1HE_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX1SDY11_2020-12-04_14-23-04.JPG,0,0,0,0.86,0.0
7,1A1HE_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX4SDY30_2020-12-04_14-23-04.JPG,0,0,0,0.56,0.0
8,1A1HE_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX12SDY6_2020-12-04_14-23-04.JPG,0,0,0,0.72,0.0
9,1A1HE_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX12SDY6_2020-12-04_14-23-04.JPG,0,0,0,0.7,0.0
10,1A1HE_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX16DY5SDX9SDY34_2020-12-04_14-23-04.JPG,0,0,0,0.92,0.0
11,1A1HE_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX4SDY9_2020-12-04_14-23-04.JPG,0,0,0,0.71,0.0
12,1A1HE_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX11SDY29_2020-12-04_14-23-04.JPG,0,0,1,0.86,0.0
13,1A1HG_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX1SDY11_2020-10-31_01-27-57.JPG,0,0,0,0.73,0.0
15,1A1HG_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX12SDY42_2020-10-31_01-27-57.JPG,0,0,0,0.68,0.0
16,1A1HG_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX8SDY22_2020-10-31_01-27-57.JPG,0,0,0,0.47,0.0
17,1A1HG_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX1SDY11_2020-10-31_01-27-57.JPG,0,0,0,0.77,0.0
20,1A1HG_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX11SDY29_2020-10-31_01-27-57.JPG,0,0,0,0.89,0.0
21,1A1HG_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX14SDY27_2020-10-31_01-27-57.JPG,0,0,1,0.65,0.0
22,1A1HI_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX10SDY15_2020-10-19_03-48-47.JPG,0,0,0,0.81,0.0
23,1A1HI_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX5SDY16_2020-10-19_03-48-47.JPG,0,0,1,0.94,0.0
