,file name,label,vanti,train \ test,score,vanti label,vanti with context data
2494,1A18Q_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-30_17-04-05.BMP,1,1,1,0.75,2,1
2495,1A19O_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-12-08_06-18-37.BMP,1,1,1,0.81,2,1
2496,1A1A0_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-27_17-08-34.BMP,1,1,0,0.43,2,1
2497,1A1AS_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-12-15_05-10-43.BMP,1,1,1,0.83,2,1
2498,1A1B6_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-12-09_07-41-28.BMP,1,1,0,0.84,2,1
2499,1A1B6_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-12-09_04-44-56.BMP,1,1,0,0.72,2,1
2500,1A1BE_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-12-06_16-40-41.BMP,1,1,0,0.5,2,1
2501,1A1FK_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-31_07-27-35.BMP,1,1,0,0.44,2,1
2502,1A1FU_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-09-23_20-17-12.BMP,1,1,0,0.52,2,1
2503,1A1FU_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-09-23_20-17-12.BMP,1,1,0,0.7,2,1
2504,1A1FU_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-09-23_20-17-12.BMP,1,1,0,0.85,2,1
2505,1A1IU_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-12-12_17-28-34.BMP,1,1,1,0.8,2,1
2506,1A1J0_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-11-25_19-25-17.BMP,1,1,0,0.56,2,1
2507,1A1J4_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-11-25_10-41-19.BMP,1,1,1,0.44,2,1
2508,1AHTK_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-12-15_07-45-17.BMP,1,1,1,0.81,2,1
2509,1P1NE_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-09-15_11-25-00.BMP,1,1,1,0.67,2,1
2510,1P1OE_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-09-19_10-50-48.BMP,1,1,1,0.89,2,1
2511,1P238_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-09-14_20-21-23.BMP,1,1,0,0.72,2,1
2512,1P238_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-09-14_20-21-23.BMP,1,1,0,0.71,2,1
2513,1P24Y_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-09-17_19-41-16.BMP,1,1,0,0.69,2,1
2514,1P256_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-02_01-44-46.BMP,1,1,0,0.9,2,1
2515,1P256_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-11-02_01-44-46.BMP,1,1,0,0.43,2,1
2516,1P25Y_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-09-02_02-57-23.BMP,1,1,0,0.47,2,1
2517,1P26I_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-09-14_16-10-54.BMP,1,1,0,0.71,2,1
2518,1P28O_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-10-19_10-03-19.BMP,1,1,0,0.4,2,1
2519,1P28O_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-10-19_10-03-19.BMP,1,1,0,0.83,2,1
2520,1P2BU_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-11-27_03-23-52.BMP,1,1,0,0.87,2,1
2521,1P2D0_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-31_02-14-28.BMP,1,1,0,0.89,2,1
2522,1P2DO_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-06_19-49-33.BMP,1,1,0,0.49,2,1
2523,1P2EQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-01_08-41-42.BMP,1,1,0,0.84,2,1
2524,1P2F8_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-09-16_18-03-52.BMP,1,1,0,0.76,2,1
2525,1P2F8_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-09-16_18-03-52.BMP,1,1,1,0.46,2,1
2526,1P2FC_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY13_2020-09-26_08-34-59.BMP,1,1,0,0.92,2,1
2527,1P2FW_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-09-14_20-57-22.BMP,1,1,1,0.73,2,1
2528,1P2G8_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-24_16-14-43.BMP,1,1,0,0.58,2,1
2529,1P2GC_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-09-26_10-20-36.BMP,1,1,0,0.65,2,1
2530,1P2GI_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-09-24_04-20-17.BMP,1,1,0,0.43,2,1
2531,1P2GI_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-09-24_04-20-17.BMP,1,1,0,0.6,2,1
2532,1P2HC_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-10-31_05-29-36.BMP,1,1,0,0.84,2,1
2533,1P2H8_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-09-08_11-26-26.BMP,1,1,0,0.85,2,1
2534,1P2HI_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-10-24_23-06-28.BMP,1,1,0,0.78,2,1
2535,1P2HG_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-09-03_00-07-44.BMP,1,1,0,0.89,2,1
2536,1P2HI_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-24_23-06-28.BMP,1,1,1,0.76,2,1
2537,1P2J6_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-09-01_21-45-28.BMP,1,1,0,0.65,2,1
2538,1P2J6_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-09-01_21-45-28.BMP,1,1,0,0.65,2,1
2539,1P2JE_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-09-14_23-26-46.BMP,1,1,0,0.49,2,1
2540,1P2JI_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-09-09_09-28-20.BMP,1,1,1,0.59,2,1
2541,1P2JQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-09-17_00-20-09.BMP,1,1,0,0.68,2,1
2542,1P2KG_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-12-11_08-24-42.BMP,1,1,0,0.89,2,1
2543,1P2KO_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-09-21_12-05-39.BMP,1,1,0,0.8,2,1
2544,1P2LA_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-27_23-46-41.BMP,1,1,1,0.61,2,1
2545,1P2MA_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-12-17_11-05-48.BMP,1,1,0,0.58,2,1
2546,1P2MA_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-12-17_11-05-48.BMP,1,1,0,0.6,2,1
2547,1P2MY_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY13_2020-10-08_22-38-44.BMP,1,1,0,0.88,2,1
2548,1P2N8_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-12-12_04-00-28.BMP,1,1,0,0.73,2,1
2549,1P2O0_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-10-31_17-38-20.BMP,1,1,0,0.92,2,1
2550,1P2NW_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-30_06-09-49.BMP,1,1,0,0.88,2,1
2551,1P2O2_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-12-04_09-41-36.BMP,1,1,0,0.83,2,1
2552,1P2O6_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-12-10_22-13-49.BMP,1,1,1,0.66,2,1
2553,1P2O6_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-12-10_22-13-49.BMP,1,1,0,0.74,2,1
2554,1P2OE_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-12-04_14-56-40.BMP,1,1,0,0.74,2,1
2555,1P2OS_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-12-08_11-22-08.BMP,1,1,1,0.59,2,1
2556,1P2OS_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-12-08_11-22-08.BMP,1,1,0,0.67,2,1
2557,1P2PA_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-12-12_00-22-48.BMP,1,1,1,0.85,2,1
2558,1P2PA_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-12-12_00-22-48.BMP,1,1,0,0.52,2,1
2559,1P2PA_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-12-12_00-22-48.BMP,1,1,0,0.46,2,1
2560,1P2PI_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-12-08_11-42-07.BMP,1,1,0,0.54,2,1
2561,1P2PK_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-11-21_10-09-11.BMP,1,1,0,0.61,2,1
2562,1P2Q4_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-09-28_11-11-42.BMP,1,1,0,0.75,2,1
2563,1P2Q8_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-09-22_04-34-43.BMP,1,1,0,0.75,2,1
2564,1P2QK_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-09-26_20-16-00.BMP,1,1,0,0.77,2,1
2565,1P2QS_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-10-06_08-46-51.BMP,1,1,0,0.72,2,1
2566,1P2QS_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-10-06_08-46-51.BMP,1,1,0,0.86,2,1
