,file name,label,vanti,train \ test,score,vanti with context data
5,1A18S_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-11-05_00-07-50.BMP,0,0,1,0.78,1
9,1A18S_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY30_2020-11-05_00-07-50.BMP,0,0,1,0.76,1
18,1A194_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY29_2020-11-17_01-04-54.BMP,0,0,1,0.73,1
24,1A194_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY29_2020-11-17_01-04-54.BMP,0,0,1,0.77,1
3970,2RM06_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX14DY10SDX6SDY31_2020-12-16_22-47-03.BMP,0,1,0,0.38,1
3971,2RM06_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY9SDX6SDY31_2020-12-16_22-47-03.BMP,0,1,0,0.13,1
3972,2RM06_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX8DY7SDX6SDY31_2020-12-16_22-47-03.BMP,0,1,1,0.58,1
3973,2RM06_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX17DY6SDX6SDY31_2020-12-16_22-47-03.BMP,0,1,0,0.41,1
4041,I6SIM_WP2_CM_MEAS_FIB_{MEASURE}_P001_DX3DY12SDX6SDY31_2020-12-16_07-52-55.BMP,0,1,0,0.53,1
4042,I6SIM_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-12-16_08-59-38.BMP,0,1,0,0.32,1
4043,I6SIM_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY31_2020-12-16_07-52-55.BMP,0,1,0,0.49,1
4044,I6SIM_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX14DY10SDX6SDY30_2020-12-16_08-59-38.BMP,0,1,0,0.14,1
4045,I6SIM_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX14DY10SDX6SDY31_2020-12-16_07-52-55.BMP,0,1,0,0.26,1
4046,I6SIM_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY9SDX6SDY30_2020-12-16_08-59-38.BMP,0,1,0,0.27,1
4047,I6SIM_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY9SDX6SDY31_2020-12-16_07-52-55.BMP,0,1,0,0.26,1
4048,I6SIM_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX8DY7SDX6SDY30_2020-12-16_08-59-38.BMP,0,1,1,0.38,1
4049,I6SIM_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX8DY7SDX6SDY31_2020-12-16_07-52-55.BMP,0,1,0,0.49,1
4050,I6SIM_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX17DY6SDX6SDY30_2020-12-16_08-59-38.BMP,0,1,0,0.57,1
4051,I6SIM_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX17DY6SDX6SDY31_2020-12-16_07-52-55.BMP,0,1,0,0.48,1
4052,I6U4C_WP2_CM_MEAS_FIB_{MEASURE}_P001_DX3DY12SDX6SDY31_2020-11-05_11-57-52.BMP,0,1,1,0.37,1
4053,I6U4C_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY31_2020-11-05_11-57-52.BMP,0,1,0,0.26,1
4054,I6U4C_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX14DY10SDX6SDY31_2020-11-05_11-57-52.BMP,0,1,0,0.37,1
4055,I6U4C_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY9SDX6SDY31_2020-11-05_11-57-52.BMP,0,1,0,0.13,1
4056,I6U4C_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX8DY7SDX6SDY31_2020-11-05_11-57-52.BMP,0,1,0,0.6,1
4057,I6U4C_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX17DY6SDX6SDY31_2020-11-05_11-57-52.BMP,0,1,1,0.26,1
4058,I6U5G_WP2_CM_MEAS_FIB_{MEASURE}_P001_DX3DY12SDX6SDY31_2020-11-09_22-18-36.BMP,0,1,1,0.33,1
4059,I6U5G_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY31_2020-11-09_22-18-36.BMP,0,1,0,0.17,1
4060,I6U5G_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX14DY10SDX6SDY31_2020-11-09_22-18-36.BMP,0,1,1,0.3,1
4061,I6U5G_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY9SDX6SDY31_2020-11-09_22-18-36.BMP,0,1,0,0.45,1
4062,I6U5G_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX8DY7SDX6SDY31_2020-11-09_22-18-36.BMP,0,1,0,0.2,1
4063,I6U5G_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX17DY6SDX6SDY31_2020-11-09_22-18-36.BMP,0,1,0,0.43,1
4064,I6U96_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY31_2020-11-14_06-24-34.BMP,0,1,0,0.17,1
4065,I6U96_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX14DY10SDX6SDY31_2020-11-14_06-24-34.BMP,0,1,1,0.27,1
4066,I6UBG_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX17DY6SDX6SDY31_2020-11-10_07-38-38.BMP,0,1,0,0.47,1
4067,I6UC8_WP2_CM_MEAS_FIB_{MEASURE}_P001_DX3DY12SDX6SDY31_2020-11-14_12-12-04.BMP,0,1,0,0.54,1
4068,I6UC8_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY31_2020-11-14_12-12-04.BMP,0,1,1,0.43,1
4069,I6UC8_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX14DY10SDX6SDY31_2020-11-14_12-12-04.BMP,0,1,1,0.45,1
4070,I6UC8_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY9SDX6SDY31_2020-11-14_12-12-04.BMP,0,1,1,0.55,1
4071,I6UC8_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX17DY6SDX6SDY31_2020-11-14_12-12-04.BMP,0,1,0,0.58,1
4072,I6UEQ_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX14DY10SDX6SDY31_2020-12-13_05-22-52.BMP,0,1,0,0.15,1
4073,I6UEQ_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX17DY6SDX6SDY31_2020-12-13_05-22-52.BMP,0,1,0,0.19,1
4074,I6UGS_WP2_CM_MEAS_FIB_{MEASURE}_P001_DX3DY12SDX6SDY31_2020-11-23_22-38-12.BMP,0,1,0,0.34,1
4075,I6UGS_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY31_2020-11-23_22-38-12.BMP,0,1,0,0.18,1
4076,I6UGS_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX14DY10SDX6SDY31_2020-11-23_22-38-12.BMP,0,1,0,0.54,1
4077,I6UGS_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY9SDX6SDY31_2020-11-23_22-38-12.BMP,0,1,0,0.38,1
4078,I6UGS_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX17DY6SDX6SDY31_2020-11-23_22-38-12.BMP,0,1,0,0.32,1
4079,I6UT8_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY31_2020-11-13_17-49-11.BMP,0,1,0,0.41,1
4080,I6UT8_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX14DY10SDX6SDY31_2020-11-13_17-49-11.BMP,0,1,0,0.47,1
4081,I6UT8_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY9SDX6SDY31_2020-11-13_17-49-11.BMP,0,1,0,0.45,1
4082,I6UT8_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX8DY7SDX6SDY31_2020-11-13_17-49-11.BMP,0,1,0,0.44,1
4083,I6UT8_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX17DY6SDX6SDY31_2020-11-13_17-49-11.BMP,0,1,0,0.51,1
4084,I6UTO_WP2_CM_MEAS_FIB_{MEASURE}_P001_DX3DY12SDX6SDY31_2020-12-01_00-05-39.BMP,0,1,1,0.24,1
4085,I6UTO_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY31_2020-12-01_00-05-39.BMP,0,1,0,0.21,1
4086,I6UTO_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX14DY10SDX6SDY31_2020-12-01_00-05-39.BMP,0,1,0,0.5,1
4087,I6UTO_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY9SDX6SDY31_2020-12-01_00-05-39.BMP,0,1,1,0.47,1
