,file name,label,vanti,train \ test,score,vanti with context data
0,3AJEE_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY30_2020-11-09_18-05-51.BMP,0,0,0,0.9,0
1,3AJEE_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-11-09_18-05-51.BMP,0,0,0,0.71,0
2,3AJEI_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY29_2020-11-23_15-01-22.BMP,0,0,0,0.87,0
3,3AJEI_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-11-23_04-15-53.BMP,0,0,0,0.51,0
4,1A18S_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY29_2020-11-05_22-42-15.BMP,0,0,0,0.72,0
6,1A18S_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY29_2020-11-05_22-42-15.BMP,0,0,0,0.4,0
7,1A18S_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-11-05_00-07-50.BMP,0,0,0,0.94,0
8,1A18S_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY29_2020-11-05_22-42-15.BMP,0,0,0,0.84,0
10,1A192_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-11-28_20-29-29.BMP,0,0,0,0.53,0
11,1A192_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-11-28_20-29-29.BMP,0,0,0,0.61,0
12,1A192_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY30_2020-11-28_20-29-29.BMP,0,0,0,0.83,0
13,1A192_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY30_2020-11-28_20-29-29.BMP,0,0,0,0.67,0
14,1A192_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY30_2020-11-28_20-29-29.BMP,0,0,0,0.92,0
15,1A192_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-11-28_20-29-29.BMP,0,0,0,0.77,0
16,1A194_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY29_2020-11-17_01-04-54.BMP,0,0,0,0.87,0
17,1A194_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-11-14_03-12-14.BMP,0,0,0,0.46,0
19,1A194_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-11-14_03-12-14.BMP,0,0,0,0.59,0
20,1A194_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY29_2020-11-17_01-04-54.BMP,0,0,0,0.53,0
21,1A194_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY30_2020-11-14_03-12-14.BMP,0,0,0,0.91,0
22,1A194_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY29_2020-11-17_01-04-54.BMP,0,0,0,0.43,0
23,1A194_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY30_2020-11-14_03-12-14.BMP,0,0,0,0.84,0
25,1A194_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY30_2020-11-14_03-12-14.BMP,0,0,0,0.81,0
26,1A194_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-11-14_03-12-14.BMP,0,0,0,0.5,0
27,1A198_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-12-23_13-39-16.BMP,0,0,0,0.45,0
28,1A198_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-12-23_13-39-16.BMP,0,0,1,0.86,0
29,1A198_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY30_2020-12-23_13-39-16.BMP,0,0,0,0.63,0
30,1A198_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY30_2020-12-23_13-39-16.BMP,0,0,0,0.94,0
31,1A198_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY30_2020-12-23_13-39-16.BMP,0,0,0,0.63,0
32,1A198_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-12-23_13-39-16.BMP,0,0,0,0.42,0
33,1A19K_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-12-01_11-03-17.BMP,0,0,1,0.65,0
34,1A19S_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-12-22_08-52-19.BMP,0,0,1,0.74,0
35,1A19S_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-12-22_08-52-19.BMP,0,0,1,0.6,0
36,1A19S_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY30_2020-12-22_08-52-19.BMP,0,0,1,0.59,0
37,1A19S_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY30_2020-12-22_08-52-19.BMP,0,0,0,0.58,0
38,1A19S_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY30_2020-12-22_08-52-19.BMP,0,0,0,0.82,0
39,1A19S_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-12-22_08-52-19.BMP,0,0,0,0.52,0
40,1A1A4_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-11-23_15-31-46.BMP,0,0,0,0.63,0
41,1A1A4_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-11-23_15-31-46.BMP,0,0,0,0.4,0
42,1A1A4_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY30_2020-11-23_15-31-46.BMP,0,0,0,0.78,0
43,1A1A4_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY30_2020-11-23_15-31-46.BMP,0,0,0,0.78,0
44,1A1A4_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY30_2020-11-23_15-31-46.BMP,0,0,0,0.77,0
45,1A1A4_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-11-23_15-31-46.BMP,0,0,0,0.53,0
