,file name,label,vanti,train \ test,score,vanti with context data
11346,S510E_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY29_2020-11-17_02-02-22.BMP,1,1,0,0.53,1
11347,6GJ82_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-11-22_15-47-35.BMP,1,1,0,0.91,1
11348,U4HR4_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX17DY6SDX6SDY31_2020-12-05_18-22-46.BMP,1,1,0,0.4,1
11349,J7V4S_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY29_2020-12-30_19-15-23.BMP,1,1,1,0.41,1
11350,2RLM0_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX14DY10SDX6SDY31_2020-11-03_10-29-27.BMP,1,1,0,0.56,1
11351,V928U_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-12-21_11-12-46.BMP,1,1,1,0.75,1
11352,J3HOW_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-11-02_11-37-54.BMP,1,1,0,0.89,1
11353,U4HSK_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX8DY7SDX6SDY31_2020-11-23_08-46-15.BMP,1,1,0,0.54,1
11354,6GJG4_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX14DY10SDX6SDY30_2020-12-30_23-54-25.BMP,1,1,0,0.61,1
11355,2RLQA_WP2_CM_MEAS_FIB_{MEASURE}_P001_DX3DY12SDX6SDY31_2020-11-05_22-13-01.BMP,1,1,0,0.65,1
11356,U8MQE_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-11-20_14-16-27.BMP,1,1,0,0.82,1
11357,6GJLQ_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-12-30_22-03-14.BMP,1,1,0,0.9,1
11358,I6V4A_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX8DY7SDX6SDY31_2020-12-13_19-19-41.BMP,1,1,1,0.73,1
11359,U4HS6_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX8DY7SDX6SDY31_2020-12-05_17-20-06.BMP,1,1,0,0.49,1
11360,U4HTW_WP2_CM_MEAS_FIB_{MEASURE}_P001_DX3DY12SDX6SDY31_2020-11-15_12-51-27.BMP,1,1,0,0.61,1
11361,U8LK4_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-12-27_23-12-05.BMP,1,1,0,0.87,1
11362,W406W_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY30_2020-11-30_23-55-50.BMP,1,1,1,0.64,1
11363,A70OU_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY28_2020-12-30_20-01-52.BMP,1,1,0,0.7,1
11364,V928I_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY27_2020-12-27_20-27-46.BMP,1,1,0,0.73,1
11365,L5M34_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX14DY10SDX6SDY29_2020-12-28_00-39-41.BMP,1,1,0,0.8,1
11366,V9256_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY29_2020-11-30_09-32-07.BMP,1,1,0,0.75,1
11367,I6UX2_WP2_CM_MEAS_FIB_{MEASURE}_P001_DX3DY12SDX6SDY31_2020-11-13_23-40-22.BMP,1,1,0,0.76,1
11368,2RLPW_WP2_CM_MEAS_FIB_{MEASURE}_P010_DX10DY8SDX6SDY31_2020-11-12_20-51-31.BMP,1,1,0,0.86,1
11369,1PIM4_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY27_2020-12-06_07-43-28.BMP,1,1,0,0.5,1
