file name,label,vanti,train \ test,score,vanti label,vanti with pr
1AHSC_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-23_19-57-27.BMP,0,0,0,0.81,2,0
1P2VC_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-11-18_06-11-48.BMP,0,0,0,0.79,1,0
1P2ZA_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY14_2020-12-26_19-23-41.BMP,0,0,0,0.43,2,0
1P2ZA_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-12-26_19-23-41.BMP,0,0,0,0.53,1,0
1P3A4_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-11-28_03-05-27.BMP,0,0,1,0.40,1,0
1P3A4_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-28_03-05-27.BMP,0,0,0,0.46,1,0
1P3AM_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-24_06-18-41.BMP,0,0,1,0.69,2,0
1P3BQ_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-12_15-01-31.BMP,0,0,0,0.54,2,0
1P38M_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-12-29_08-25-23.BMP,0,0,1,0.69,2,0
1P39A_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-11-18_05-24-28.BMP,0,0,1,0.51,2,0
1P39I_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-22_19-37-01.BMP,0,0,0,0.49,1,0
J7VIG_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-11-30_17-05-41.BMP,0,0,0,0.45,2,0
J7VQS_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-12-19_07-19-11.BMP,0,0,0,0.68,2,0
V9HME_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-12-09_15-48-52.BMP,0,0,0,0.55,1,0
V92D0_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-07_10-17-56.BMP,0,0,0,0.54,2,0
V9266_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-12-02_09-49-53.BMP,0,0,0,0.47,2,0
1A1AE_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-12-13_08-14-30.BMP,0,0,0,0.55,2,0
1A1B6_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-11-08_06-50-38.BMP,0,0,1,0.72,2,0
1P384_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-12-26_22-11-27.BMP,0,0,1,0.46,1,0
2RLH4_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX4DY11SDX2SDY8_2020-11-02_17-18-11.BMP,0,1,0,0.58,0,1
2RLHG_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX9DY12SDX2SDY10_2020-12-22_12-08-10.BMP,0,1,0,0.39,0,1
2RLHK_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX9DY12SDX2SDY10_2020-11-11_10-36-28.BMP,0,1,0,0.29,0,1
2RLLG_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX9DY12SDX2SDY9_2020-11-08_20-22-02.BMP,0,1,1,0.54,0,1
2RLTY_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX9DY12SDX2SDY10_2020-12-22_11-07-01.BMP,0,1,1,0.59,0,1
3AIFK_FSGB_VE_MEAS_FIB_{MEASURELB}_P001_DX10DY9SDX7SDY17_2020-11-16_00-16-00.BMP,0,0,0,0.48,2,0
3AIFK_FSGB_VE_MEAS_FIB_{MEASURELB}_P003_DX6DY11SDX7SDY17_2020-11-16_00-16-00.BMP,0,0,1,0.49,2,0
3AIGO_FSGB_VE_MEAS_FIB_{MEASURELB}_P001_DX10DY9SDX7SDY18_2020-12-22_21-47-17.BMP,0,0,0,0.78,2,0
3AIHQ_FSGB_VE_MEAS_FIB_{MEASURELB}_P008_DX14DY6SDX7SDY17_2020-11-13_19-39-24.BMP,0,0,0,0.68,2,0
3AILY_FSGB_VE_MEAS_FIB_{MEASURELB}_P009_DX10DY3SDX7SDY17_2020-11-18_12-53-50.BMP,0,0,1,0.62,2,0
3AIOA_FSGB_VE_MEAS_FIB_{MEASURELB}_P008_DX14DY6SDX7SDY18_2020-11-21_23-15-36.BMP,0,0,0,0.62,1,0
3AIOC_FSGB_VE_MEAS_FIB_{MEASURELB}_P001_DX10DY9SDX7SDY18_2020-12-12_13-28-13.BMP,0,0,0,0.73,2,0
3AIPG_FSGB_VE_MEAS_FIB_{MEASURELB}_P008_DX14DY6SDX7SDY18_2020-11-06_04-26-29.BMP,0,0,0,0.67,2,0
3AIQ8_FSGB_VE_MEAS_FIB_{MEASURELB}_P001_DX10DY9SDX7SDY18_2020-12-01_17-33-29.BMP,0,0,1,0.73,2,0
3AIVG_FSGB_VE_MEAS_FIB_{MEASURELB}_P004_DX14DY11SDX7SDY18_2020-11-01_02-28-30.BMP,0,0,0,0.76,1,0
3AIWQ_FSGB_VE_MEAS_FIB_{MEASURELB}_P002_DX10DY14SDX7SDY18_2020-11-24_05-00-45.BMP,0,0,0,0.64,1,0
3AIWY_FSGB_VE_MEAS_FIB_{MEASURELB}_P004_DX14DY11SDX7SDY17_2020-11-09_13-21-43.BMP,0,0,0,0.73,1,0
3AIXE_FSGB_VE_MEAS_FIB_{MEASURELB}_P009_DX10DY3SDX7SDY17_2020-11-05_23-41-11.BMP,0,0,0,0.56,2,0
3AIXG_FSGB_VE_MEAS_FIB_{MEASURELB}_P001_DX10DY9SDX7SDY18_2020-11-11_00-38-12.BMP,0,0,1,0.49,1,0
3AIXG_FSGB_VE_MEAS_FIB_{MEASURELB}_P004_DX14DY11SDX7SDY18_2020-11-11_00-38-12.BMP,0,0,0,0.85,1,0
