file name,label,vanti,train \ test,score,vanti with context data
Y50XU_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-06-12_03-36-12.BMP,0,1,0,0.54,1
4P0Q0_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-10-11_04-10-48.BMP,0,0,0,0.92,0
Y50R8_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-06-10_00-42-42.BMP,0,0,1,0.71,0
Y50RY_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-08-16_12-21-50.BMP,0,1,1,0.28,1
Y50ZS_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-08-06_10-02-10.BMP,0,1,1,0.22,1
4P0QQ_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-10-22_15-38-00.BMP,0,0,0,0.84,0
Y510S_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-07-13_15-47-08.BMP,0,0,1,0.81,1
4P0P6_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-09-19_19-34-01.BMP,0,0,1,0.42,0
4P0RO_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-12-06_14-14-20.BMP,0,0,0,0.50,0
Y50QY_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-06-10_17-49-30.BMP,0,1,0,0.27,1
Y50YS_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-06-24_20-05-11.BMP,0,1,0,0.19,1
7QI8G_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-08-28_19-57-03.BMP,0,1,1,0.15,1
4P0RU_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-11-06_09-57-12.BMP,0,1,1,0.37,1
T10H4_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-05-01_07-38-11.BMP,0,1,0,0.59,1
7QI8Q_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-11-05_00-45-05.BMP,0,1,0,0.18,1
9UHIS_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-10-18_00-33-27.BMP,0,1,0,0.40,1
7N0N6_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-06-04_23-54-34.BMP,0,1,0,0.57,1
9A0SE_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-04-22_15-45-32.BMP,0,1,1,0.46,1
4P0Q0_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-10-11_03-16-14.BMP,0,1,1,0.50,1
4P0PK_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-10-11_03-47-54.BMP,0,1,0,0.42,1
6U0OO_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-11-19_20-38-45.BMP,0,1,0,0.39,1
9UHIY_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-11-04_20-18-30.BMP,0,1,1,0.32,1
T10GG_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-07-29_00-03-03.BMP,0,0,0,0.72,0
T10HQ_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-05-28_20-11-59.BMP,0,0,0,0.77,0
7EIGQ_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-11-10_13-52-40.BMP,0,0,1,0.61,0
4P0SM_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-09-12_07-45-56.BMP,0,0,0,0.50,0
