file name,label,vanti,train \ test,score,vanti with PR
1A1GQ_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX12SDY6_2020-11-16_02-17-33.JPG,0,0,0,0.63,0
1A1GQ_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX16DY5SDX12SDY6_2020-11-16_02-17-33.JPG,0,0,1,0.80,0
1A1GQ_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX10SDY15_2020-11-16_02-17-33.JPG,0,0,1,0.53,0
1A1GQ_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX14SDY27_2020-11-16_02-17-33.JPG,0,0,1,0.76,0
1A1GQ_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX14SDY27_2020-11-16_02-17-33.JPG,0,1,1,0.27,1
1A1HE_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX1SDY11_2020-12-04_14-23-04.JPG,0,0,0,0.63,0
1A1HE_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX1SDY11_2020-12-04_14-23-04.JPG,0,0,0,0.86,0
1A1HE_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX4SDY30_2020-12-04_14-23-04.JPG,0,0,0,0.56,0
1A1HE_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX12SDY6_2020-12-04_14-23-04.JPG,0,0,0,0.72,0
1A1HE_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX12SDY6_2020-12-04_14-23-04.JPG,0,0,0,0.70,0
1A1HE_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX16DY5SDX9SDY34_2020-12-04_14-23-04.JPG,0,0,0,0.92,0
1A1HE_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX4SDY9_2020-12-04_14-23-04.JPG,0,0,0,0.71,0
1A1HE_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX11SDY29_2020-12-04_14-23-04.JPG,0,0,1,0.86,0
1A1HG_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX1SDY11_2020-10-31_01-27-57.JPG,0,0,0,0.73,0
1A1HG_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX8SDY22_2020-10-31_01-27-57.JPG,0,1,0,0.50,1
1A1HG_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX12SDY42_2020-10-31_01-27-57.JPG,0,0,0,0.68,0
1A1HG_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX8SDY22_2020-10-31_01-27-57.JPG,0,0,0,0.47,0
1A1HG_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX1SDY11_2020-10-31_01-27-57.JPG,0,0,0,0.77,0
1A1HG_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX9SDY34_2020-10-31_01-27-57.JPG,0,1,0,0.18,1
1A1HG_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX8SDY11_2020-10-31_01-27-57.JPG,0,1,1,0.60,1
1A1HG_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX11SDY29_2020-10-31_01-27-57.JPG,0,0,0,0.89,0
1A1HG_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX14SDY27_2020-10-31_01-27-57.JPG,0,0,1,0.65,0
1A1HI_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX10SDY15_2020-10-19_03-48-47.JPG,0,0,0,0.81,0
1A1HI_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX5SDY16_2020-10-19_03-48-47.JPG,0,0,1,0.94,0
1A1HI_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX15DY8SDX5SDY16_2020-10-19_03-48-47.JPG,0,0,1,0.48,0
1A1HI_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX4DY12SDX7SDY40_2020-10-19_03-48-47.JPG,0,0,0,0.62,0
1A1HI_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX4DY12SDX13SDY18_2020-10-19_03-48-47.JPG,0,1,0,0.50,1
1A1HK_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX8SDY22_2020-11-17_03-34-16.JPG,0,0,0,0.58,0
1A1HK_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX12SDY42_2020-11-17_03-34-16.JPG,0,1,0,0.33,1
1A1HK_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX1SDY11_2020-11-17_03-34-16.JPG,0,0,0,0.81,0
1A1HK_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX5SDY16_2020-11-17_03-34-16.JPG,0,1,0,0.43,1
1A1HK_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX15DY8SDX5SDY37_2020-11-17_03-34-16.JPG,0,1,0,0.51,1
1A1HK_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX4SDY9_2020-11-17_03-34-16.JPG,0,0,0,0.82,0
1A1HK_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX13SDY18_2020-11-17_03-34-16.JPG,0,1,0,0.12,1
1A1HK_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX2SDY33_2020-11-17_03-34-16.JPG,0,0,0,0.69,0
1A1HM_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX4SDY30_2020-11-28_10-46-21.JPG,0,0,0,0.61,0
1A1HM_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX8SDY22_2020-11-28_10-46-21.JPG,0,0,0,0.44,0
1A1HM_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX1SDY11_2020-11-28_10-46-21.JPG,0,0,0,0.93,0
1A1HM_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX13SDY45_2020-11-28_10-46-21.JPG,0,1,0,0.37,1
1A1HM_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX11SDY29_2020-11-28_10-46-21.JPG,0,0,0,0.93,0
1A1HM_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX11SDY29_2020-11-28_10-46-21.JPG,0,0,0,0.93,0
