file name,label,vanti,train \ test,score,vanti label,vanti with context data
I6UNW_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-09-26_17-05-45.BMP,0,0,0,0.80,0,0
1P2FE_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-09-14_16-17-21.BMP,0,0,0,0.80,1,0
I6UH0_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-09-05_09-18-49.BMP,0,0,0,0.53,1,0
I6UHQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-09-21_22-55-34.BMP,0,0,0,0.87,1,0
I6UKA_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-09-26_17-00-40.BMP,0,0,1,0.63,1,0
U4HPG_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-12-17_19-45-18.BMP,0,0,0,0.50,0,0
2RLGM_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-10-26_16-26-13.BMP,0,0,0,0.63,1,0
2RKVU_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-09-07_01-22-22.BMP,0,0,0,0.87,1,0
2RL7S_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-11-01_05-14-26.BMP,0,0,0,0.47,1,0
3AIWS_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-12-15_06-21-01.BMP,0,0,0,0.84,1,0
2RKXO_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-09-20_01-17-56.BMP,0,0,0,0.70,0,0
V9178_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-09-11_08-51-54.BMP,0,0,0,0.49,0,0
2RKYK_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-09-18_22-57-41.BMP,0,0,0,0.94,1,0
J3HOQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-12-18_02-13-23.BMP,0,0,0,0.74,1,0
2RKU8_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-09-06_10-19-19.BMP,0,0,0,0.85,0,0
U8L0K_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-09-11_14-39-35.BMP,0,0,0,0.41,1,0
2RKNU_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-08-31_07-34-59.BMP,0,0,0,0.89,0,0
J7VAW_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-12-17_21-39-23.BMP,0,0,0,0.46,0,0
