file name,label,vanti,train \ test,score,vanti with context data
3AJEE_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY30_2020-11-09_18-05-51.BMP,0,0,0,0.90,0
3AJEE_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-11-09_18-05-51.BMP,0,0,0,0.71,0
3AJEI_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY29_2020-11-23_15-01-22.BMP,0,0,0,0.87,0
3AJEI_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-11-23_04-15-53.BMP,0,0,0,0.51,0
1A18S_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY29_2020-11-05_22-42-15.BMP,0,0,0,0.72,0
1A18S_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-11-05_00-07-50.BMP,0,0,1,0.78,1
1A18S_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY29_2020-11-05_22-42-15.BMP,0,0,0,0.40,0
1A18S_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-11-05_00-07-50.BMP,0,0,0,0.94,0
1A18S_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY29_2020-11-05_22-42-15.BMP,0,0,0,0.84,0
1A18S_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY30_2020-11-05_00-07-50.BMP,0,0,1,0.76,1
1A192_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-11-28_20-29-29.BMP,0,0,0,0.53,0
1A192_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-11-28_20-29-29.BMP,0,0,0,0.61,0
1A192_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY30_2020-11-28_20-29-29.BMP,0,0,0,0.83,0
1A192_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY30_2020-11-28_20-29-29.BMP,0,0,0,0.67,0
1A192_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY30_2020-11-28_20-29-29.BMP,0,0,0,0.92,0
1A192_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-11-28_20-29-29.BMP,0,0,0,0.77,0
1A194_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY29_2020-11-17_01-04-54.BMP,0,0,0,0.87,0
1A194_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-11-14_03-12-14.BMP,0,0,0,0.46,0
1A194_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY29_2020-11-17_01-04-54.BMP,0,0,1,0.73,1
1A194_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-11-14_03-12-14.BMP,0,0,0,0.59,0
1A194_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY29_2020-11-17_01-04-54.BMP,0,0,0,0.53,0
1A194_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY30_2020-11-14_03-12-14.BMP,0,0,0,0.91,0
1A194_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY29_2020-11-17_01-04-54.BMP,0,0,0,0.43,0
1A194_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY30_2020-11-14_03-12-14.BMP,0,0,0,0.84,0
1A194_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY29_2020-11-17_01-04-54.BMP,0,0,1,0.77,1
1A194_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY30_2020-11-14_03-12-14.BMP,0,0,0,0.81,0
1A194_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-11-14_03-12-14.BMP,0,0,0,0.50,0
1A198_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-12-23_13-39-16.BMP,0,0,0,0.45,0
1A198_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-12-23_13-39-16.BMP,0,0,1,0.86,0
1A198_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY30_2020-12-23_13-39-16.BMP,0,0,0,0.63,0
1A198_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY30_2020-12-23_13-39-16.BMP,0,0,0,0.94,0
1A198_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY30_2020-12-23_13-39-16.BMP,0,0,0,0.63,0
1A198_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-12-23_13-39-16.BMP,0,0,0,0.42,0
1A19K_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-12-01_11-03-17.BMP,0,0,1,0.65,0
1A19S_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-12-22_08-52-19.BMP,0,0,1,0.74,0
1A19S_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-12-22_08-52-19.BMP,0,0,1,0.60,0
1A19S_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY30_2020-12-22_08-52-19.BMP,0,0,1,0.59,0
1A19S_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY30_2020-12-22_08-52-19.BMP,0,0,0,0.58,0
1A19S_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY30_2020-12-22_08-52-19.BMP,0,0,0,0.82,0
1A19S_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-12-22_08-52-19.BMP,0,0,0,0.52,0
1A1A4_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-11-23_15-31-46.BMP,0,0,0,0.63,0
1A1A4_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-11-23_15-31-46.BMP,0,0,0,0.40,0
1A1A4_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY30_2020-11-23_15-31-46.BMP,0,0,0,0.78,0
1A1A4_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY30_2020-11-23_15-31-46.BMP,0,0,0,0.78,0
1A1A4_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY30_2020-11-23_15-31-46.BMP,0,0,0,0.77,0
1A1A4_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-11-23_15-31-46.BMP,0,0,0,0.53,0
1A1AC_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY28_2020-12-02_01-19-19.BMP,0,0,0,0.82,0
1A1AC_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY29_2020-11-30_14-45-22.BMP,0,0,0,0.80,0
1A1AC_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY28_2020-12-02_01-19-19.BMP,0,0,0,0.52,0
1A1AC_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY29_2020-11-30_14-45-22.BMP,0,0,0,0.76,0
1A1AC_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY28_2020-12-02_01-19-19.BMP,0,0,0,0.93,0
