,file name,label,vanti,train \ test,score
1,Y50XU_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-06-12_03-36-12.BMP,0,1,0,0.54
2,4P0Q0_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-10-11_04-10-48.BMP,0,0,0,0.92
3,Y50R8_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-06-10_00-42-42.BMP,0,0,1,0.71
4,Y50RY_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-08-16_12-21-50.BMP,0,1,1,0.28
5,Y50ZS_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-08-06_10-02-10.BMP,0,1,1,0.22
6,4P0QQ_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-10-22_15-38-00.BMP,0,0,0,0.84
7,Y510S_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-07-13_15-47-08.BMP,0,0,1,0.81
8,4P0P6_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-09-19_19-34-01.BMP,0,0,1,0.42
9,4P0RO_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-12-06_14-14-20.BMP,0,0,0,0.50
10,Y50QY_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-06-10_17-49-30.BMP,0,1,0,0.27
11,Y50YS_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-06-24_20-05-11.BMP,0,1,0,0.19
12,7QI8G_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-08-28_19-57-03.BMP,0,1,1,0.15
13,4P0RU_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-11-06_09-57-12.BMP,0,1,1,0.37
14,T10H4_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-05-01_07-38-11.BMP,0,1,0,0.59
15,7QI8Q_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-11-05_00-45-05.BMP,0,1,0,0.18
16,9UHIS_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-10-18_00-33-27.BMP,0,1,0,0.40
17,7N0N6_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-06-04_23-54-34.BMP,0,1,0,0.57
18,9A0SE_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-04-22_15-45-32.BMP,0,1,1,0.46
19,4P0Q0_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-10-11_03-16-14.BMP,0,1,1,0.50
20,4P0PK_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-10-11_03-47-54.BMP,0,1,0,0.42
21,6U0OO_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-11-19_20-38-45.BMP,0,1,0,0.39
22,9UHIY_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-11-04_20-18-30.BMP,0,1,1,0.32
23,T10GG_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-07-29_00-03-03.BMP,0,0,0,0.72
24,T10HQ_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-05-28_20-11-59.BMP,0,0,0,0.77
25,7EIGQ_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-11-10_13-52-40.BMP,0,0,1,0.61
26,4P0SM_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-09-12_07-45-56.BMP,0,0,0,0.50
27,Y5112_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY16_2020-10-10_00-12-13.BMP,0,0,0,0.62
28,S7016_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-09-26_17-16-30.BMP,0,0,1,0.79
29,Y50ZS_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-08-06_10-02-10.BMP,0,0,0,0.70
30,7N0LE_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY16_2020-02-06_05-18-06.BMP,0,0,0,0.63
31,Y50Q4_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-06-01_21-06-26.BMP,0,0,0,0.68
32,Y50XQ_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-06-01_19-30-14.BMP,0,0,1,0.50
33,Y50YK_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-05-24_05-55-09.BMP,0,0,1,0.92
34,7N0LE_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY16_2020-02-06_05-18-06.BMP,0,0,0,0.81
35,7N0M8_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-03-01_08-36-38.BMP,0,1,0,0.30
36,Y50Y8_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-07-05_06-52-34.BMP,0,1,0,0.35
37,Y50YS_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY16_2020-06-24_20-48-33.BMP,0,1,0,0.48
38,Y50ZQ_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-07-29_00-04-09.BMP,0,1,0,0.26
39,Y50Z4_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-06-10_08-10-42.BMP,0,1,1,0.49
40,Y50YC_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-08-22_22-38-21.BMP,0,1,0,0.13
41,9A0VU_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-09-25_14-19-57.BMP,0,1,0,0.45
42,9UHIY_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-11-04_20-18-30.BMP,0,1,1,0.17
43,7N0KS_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-02-04_19-25-06.BMP,0,1,1,0.31
