,file name,label,vanti,train \ test,score
1,1A1GQ_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX12SDY6_2020-11-16_02-17-33.JPG,0,0,0,0.63
2,1A1GQ_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX16DY5SDX12SDY6_2020-11-16_02-17-33.JPG,0,0,1,0.80
3,1A1GQ_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX10SDY15_2020-11-16_02-17-33.JPG,0,0,1,0.53
4,1A1GQ_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX14SDY27_2020-11-16_02-17-33.JPG,0,0,1,0.76
5,1A1GQ_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX14SDY27_2020-11-16_02-17-33.JPG,0,1,1,0.27
6,1A1HE_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX1SDY11_2020-12-04_14-23-04.JPG,0,0,0,0.63
7,1A1HE_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX1SDY11_2020-12-04_14-23-04.JPG,0,0,0,0.86
8,1A1HE_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX4SDY30_2020-12-04_14-23-04.JPG,0,0,0,0.56
9,1A1HE_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX12SDY6_2020-12-04_14-23-04.JPG,0,0,0,0.72
10,1A1HE_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX12SDY6_2020-12-04_14-23-04.JPG,0,0,0,0.70
11,1A1HE_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX16DY5SDX9SDY34_2020-12-04_14-23-04.JPG,0,0,0,0.92
12,1A1HE_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX4SDY9_2020-12-04_14-23-04.JPG,0,0,0,0.71
13,1A1HE_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX11SDY29_2020-12-04_14-23-04.JPG,0,0,1,0.86
