,file name,label,vanti,train \ test,score
1,I6UNW_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-09-26_17-05-45.BMP,0,0,0,0.80
2,1P2FE_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-09-14_16-17-21.BMP,0,0,0,0.80
3,I6UH0_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-09-05_09-18-49.BMP,0,0,0,0.53
4,I6UHQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-09-21_22-55-34.BMP,0,0,0,0.87
5,I6UKA_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-09-26_17-00-40.BMP,0,0,1,0.63
6,U4HPG_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-12-17_19-45-18.BMP,0,0,0,0.50
7,2RLGM_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-10-26_16-26-13.BMP,0,0,0,0.63
8,2RKVU_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-09-07_01-22-22.BMP,0,0,0,0.87
9,2RL7S_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-11-01_05-14-26.BMP,0,0,0,0.47
10,3AIWS_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-12-15_06-21-01.BMP,0,0,0,0.84
11,2RKXO_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-09-20_01-17-56.BMP,0,0,0,0.70
12,V9178_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-09-11_08-51-54.BMP,0,0,0,0.49
13,2RKYK_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-09-18_22-57-41.BMP,0,0,0,0.94
14,J3HOQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-12-18_02-13-23.BMP,0,0,0,0.74
15,2RKU8_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-09-06_10-19-19.BMP,0,0,0,0.85
16,U8L0K_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-09-11_14-39-35.BMP,0,0,0,0.41
17,2RKNU_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-08-31_07-34-59.BMP,0,0,0,0.89
18,J7VAW_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-12-17_21-39-23.BMP,0,0,0,0.46
19,U8LOU_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-11-15_16-30-06.BMP,0,0,0,0.44
20,L5LDQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-12-15_00-21-45.BMP,0,0,0,0.46
21,V920U_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-12-12_09-25-38.BMP,0,0,0,0.73
22,2RLAS_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-11-01_12-20-17.BMP,0,1,1,0.22
23,3AIXQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-11-23_17-31-24.BMP,0,0,0,0.55
24,2RLGG_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-10-31_15-55-45.BMP,0,0,1,0.47
25,3AIWM_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-10_08-35-09.BMP,0,0,0,0.88
26,3JNPK_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX8SDY16_2020-09-15_19-59-27.BMP,0,0,1,0.70
27,I6UIS_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY36_2020-09-19_13-53-22.BMP,0,0,0,0.61
28,2RL0E_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-09-20_14-44-06.BMP,0,0,0,0.49
29,3AIHE_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-09-19_23-50-40.BMP,0,0,0,0.55
30,2RKTM_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-09-28_19-17-25.BMP,0,0,1,0.47
31,1P358_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-11-27_15-35-10.BMP,0,0,0,0.75
