,file name,label,vanti,train \ test,score
1,3AJEE_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY30_2020-11-09_18-05-51.BMP,0,0,0,0.90
2,3AJEE_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-11-09_18-05-51.BMP,0,0,0,0.71
3,3AJEI_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY29_2020-11-23_15-01-22.BMP,0,0,0,0.87
4,3AJEI_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-11-23_04-15-53.BMP,0,0,0,0.51
5,1A18S_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY29_2020-11-05_22-42-15.BMP,0,0,0,0.72
6,1A18S_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-11-05_00-07-50.BMP,0,0,1,0.78
7,1A18S_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY29_2020-11-05_22-42-15.BMP,0,0,0,0.40
8,1A18S_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-11-05_00-07-50.BMP,0,0,0,0.94
9,1A18S_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY29_2020-11-05_22-42-15.BMP,0,0,0,0.84
10,1A18S_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY30_2020-11-05_00-07-50.BMP,0,0,1,0.76
11,1A192_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-11-28_20-29-29.BMP,0,0,0,0.53
12,1A192_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-11-28_20-29-29.BMP,0,0,0,0.61
13,1A192_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY30_2020-11-28_20-29-29.BMP,0,0,0,0.83
14,1A192_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY30_2020-11-28_20-29-29.BMP,0,0,0,0.67
15,1A192_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY30_2020-11-28_20-29-29.BMP,0,0,0,0.92
16,1A192_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-11-28_20-29-29.BMP,0,0,0,0.77
17,1A194_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY29_2020-11-17_01-04-54.BMP,0,0,0,0.87
